"Timestamp","Age","Millennium Falcon: Smugglers Run","Star Wars: Rise of the Resistance","Savi's Workshop (Handbuilt Lightsabers)","Droid Depot","Oga's Cantina","Docking Bay 7 Food and Cargo","Milk Stand","Ronto Roasters","Kat Saka's Kettle","Dok-Ondar's Den of Antiquities","Black Spire Outfitters","First Order Cargo","Resistance Supply","Creature Stall","Toydarian Toymaker","Disney Parks App","Star Wars: Galactic Starcruiser (2-night, all-immersive adventure)"
"2020/04/06 3:27:18 PM AST","35-44","5","5","5","4","5","5","4","5","4","5","5","3","3","2","2","5","5"
"2020/04/06 3:28:29 PM AST","25-34","5","5","5","5","5","3","5","4","4","5","4","3","4","4","4","2","3"
"2020/04/06 3:35:19 PM AST","35-44","4","5","5","4","4","4","4","4","4","5","3","4","4","3","3","2","5"
"2020/04/06 3:36:12 PM AST","Under 18","5","5","5","5","1","5","4","1","3","3","3","4","4","5","3","1","4"
"2020/04/06 3:36:48 PM AST","25-34","4","5","5","5","5","3","4","2","1","3","3","4","3","4","4","1","3"
"2020/04/06 3:37:25 PM AST","25-34","4","5","1","2","4","3","2","2","2","3","2","2","2","3","2","3","1"
"2020/04/06 3:38:00 PM AST","Under 18","5","5","3","3","2","5","4","4","1","4","1","2","1","4","2","3","1"
"2020/04/06 3:38:28 PM AST","25-34","4","5","5","4","5","4","5","4","1","4","5","2","3","3","5","3","5"
"2020/04/06 3:39:26 PM AST","25-34","5","5","3","2","4","3","3","4","1","3","3","3","3","4","2","5","4"
"2020/04/06 3:42:21 PM AST","25-34","5","5","2","3","5","3","3","5","4","5","4","4","5","3","4","5","5"
"2020/04/06 3:43:33 PM AST","18-24","5","5","4","5","5","3","5","3","2","5","1","2","1","2","1","3","1"
"2020/04/06 3:47:45 PM AST","25-34","5","4","5","4","5","4","4","2","1","5","3","2","1","1","1","4","4"
"2020/04/06 3:49:59 PM AST","45-54","5","5","5","2","4","4","2","4","2","5","3","3","4","3","5","4","2"
"2020/04/06 3:50:19 PM AST","55-64","4","5","5","5","2","4","5","4","4","5","4","4","3","4","4","5","3"
"2020/04/06 3:52:34 PM AST","45-54","5","3","5","3","2","2","2","2","2","3","4","1","1","3","3","3","5"
"2020/04/06 3:52:41 PM AST","25-34","5","5","1","2","2","5","2","5","2","3","2","1","2","3","3","3","1"
"2020/04/06 3:58:07 PM AST","25-34","5","5","2","2","4","4","4","4","3","2","2","3","3","3","2","3","3"
